id,label,mint_count_per_week,burn_count_per_week,mint_ratio,burn_ratio,swap_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swap_in_per_week,swap_out_per_week,swap_rate,lp_avg,lp_std,lp_creator_holding_ratio,lp_lock_ratio,token_burn_ratio,token_creator_holding_ratio,number_of_token_creation_of_creator
0xbe8cdb3fcb3b2a4bd89a33bb0b291074b4d6d9a8,False,0.047589506513813704,0.047589506513813704,0.05263157894736842,0.05263157894736842,0.8947368421052632,0.0,0.11915679297653546,0.005108773349116697,0.38071605211050963,0.42830555862432335,0.8,100.0,0.0,0.0,0.0,100.0,0.0,1
0x6fbf081e93b775c0270767fe821d9c951e593a9f,False,0.7759218094740761,0.5989571862606903,0.009342730699885265,0.007211932470086871,0.9834453368300279,0.026837959905412552,0.0009742970009482613,0.11759423439247421,31.458864942010347,50.21711500262924,0.6262872628726287,33.333333333333336,62.67505458048415,0.0,0.0,0.0,0.0,1
0x0b449fb9075b93552b153dc69171de679c516ad2,False,0.04065411604631769,0.04646184691007736,0.009776536312849162,0.0111731843575419,0.979050279329609,0.1437719936888848,0.16139183558994566,0.2646656104483456,1.7713579134466995,2.2998614220488296,0.7682619647355163,100.0,0.0,0.0,0.0,0.0,0.0,1
0xab8e94046b56a50513721aa48febe6125be8b0ee,False,0.005120884238525403,0.005120884238525403,0.007692307692307693,0.007692307692307693,0.9846153846153847,0.0,0.5459658174916259,0.0005357540897323888,0.2509233276877447,0.4045498548435068,0.6125,100.0,0.0,0.0,0.0,100.0,84.96,1
0xc19263e6a6f678ef1ce87f8a55444beef5ddd5db,False,0.07836333492238287,0.055315295239329085,0.004989727032579982,0.0035221602582917524,0.9914881127091283,0.0531808882424031,0.21171865568128836,0.14155067782576702,7.785627804935569,7.785627804935569,0.9994082840236687,50.0,23.3486659147798,0.0,0.0,0.0,0.0,1
0x95dfa86631c39b44f1065369f495b6229ba903e3,False,0.027376520344906584,0.02053239025867994,0.006968641114982578,0.005226480836236934,0.9878048780487805,0.058360346932493506,0.30122183184590706,0.20560772294487323,2.30647183905838,1.5741499198321285,1.4588744588744589,50.0,69.72072862499358,0.0,99.3,0.0,0.0,1
0x54049236fc1db3e274128176efedf7c69b4c6335,False,1.5659119781702637,0.9395471869021583,0.02786624203821656,0.016719745222929936,0.9554140127388535,0.15150978262274808,0.10332454601990775,0.21992263485761318,22.21805395312437,31.470356726998958,0.7057987492893689,11.11111111111111,87.33568393783202,0.0,0.0,0.0,0.0,1
0x4751c9ca5230a33e8da11c3d4be623409ed524b8,False,0.013062907956013984,0.006531453978006992,0.058823529411764705,0.029411764705882353,0.9117647058823529,0.004429324255422394,0.07090535377780102,0.05273729549657793,0.11103471762611886,0.09144035569209788,1.1333333333333333,100.0,0.0,0.0,0.0,100.0,0.0,1
0x5d27df1a6e03254e4f1218607d8e073667ffae2f,False,0.06329756022936066,0.0452125430209719,0.059574468085106386,0.0425531914893617,0.8978723404255319,0.04546326167772735,0.2724650316612173,0.13254405833723562,0.41595539579294144,0.5380292619495656,0.7666666666666667,50.0,69.97528706622074,0.0,0.0,0.52,0.0,1
0x3203d789bfdb222bfdd629b8de7c5dc38e8241ec,False,0.5272706376462567,0.4218165101170054,0.016965584100824042,0.013572467280659235,0.9694619486185168,0.10565012864680862,0.04409948644252082,0.19739839423935207,14.321674843496421,15.80807587914682,0.9056843442362654,16.666666666666668,54.26892081722897,0.0,0.0,0.0,0.0,1
0xf1fe852fca1b5a869ef1fe06a2799e1f38b70b84,False,0.9696014529031047,0.5855385397401867,0.024651832879782294,0.014887145829998399,0.9604610212902193,0.050404422163104326,0.005061617758633431,0.12160191107671844,17.471714492247504,20.30496549099034,0.8601983880967142,12.5,33.14643872273461,0.0,0.0,0.0,0.0,1
0x26d05832d25f9354386f87a27103f48d78b81795,False,0.534556464132672,0.26440427258175175,0.034779356768885564,0.01720269259536275,0.9480179506357517,0.0037172364542327175,0.11378250474187047,0.15140816562378812,8.380465857047696,6.190508729794492,1.3525046382189239,50.0,70.69653598303101,0.0,0.0,0.0,0.0,1
0xb3f1e2d2a1a1ba9bcbcf0c1278ded541e305bd5a,False,0.14123909143506813,0.10023419392166126,0.012380191693290734,0.00878594249201278,0.9788338658146964,0.18166981267844526,0.26601912471544736,0.2172669039795492,5.39442207287486,5.772578349942946,0.9337539432176656,100.0,0.0,0.0,0.0,0.0,50.42,1
0xeff2dbe03e67ee5e5a6b645cb61a1c0dcfd890d9,False,2.297500964753025,1.274640946198596,0.04524325999380229,0.025100712736287573,0.9296560272699101,0.10401679221124255,0.0005572498384943185,0.1933734042171947,12.463155918386272,34.74576801489506,0.3586144441928911,4.3478260869565215,80.3531554533134,0.0,0.0,0.0,0.0,1
0x7d2e8779f46e07b6aaa4626007d000421870e353,False,0.263444420806464,0.15806665248387838,0.003590664272890485,0.0021543985637342907,0.9942549371633752,0.22118944173126318,0.08601481062340656,0.33068406705545356,32.48269708543701,40.465063035872866,0.8022121014964216,50.0,65.36495085288445,0.0,96.22,96.22,0.0,1
0x1c7fda31922a675a7b77c265904c9eb0dd20b151,False,0.033685342939181184,0.02021120576350871,0.0010604453870625664,0.0006362672322375398,0.9983032873806998,0.02318130901568696,0.2026499502922499,0.03825399573578539,17.442270573908015,14.269111269037149,1.2218027371401605,100.0,0.0,0.0,0.0,0.0,0.0,1
0x8382aeab50c5d60e06cf3b68a51cd88c39a061c6,False,1.6671854007885802,0.5912004967335391,0.04418677530554685,0.015669069257286117,0.940144155437167,0.15107028313538295,0.0009107185842601522,0.22816679633478446,15.377124920039352,20.094904883972994,0.765,9.090909090909092,64.15855742540577,0.0,0.0,0.0,0.0,1
0x360686d848aaf42f9dc834ad786f4afc7226ac1d,False,0.05625363531444733,0.032814620600094276,0.043010752688172046,0.025089605734767026,0.931899641577061,0.11955621791558411,0.2618423665748774,0.18086038547112937,0.5672241560873439,0.6516046090590148,0.8642857142857143,100.0,0.0,0.0,0.0,100.0,0.0,1
0xd2ce84de055ccb4ea93fc7ec7c9c0d0244ec4664,False,3.3489234141737483,2.227423480124865,0.06402620607504467,0.04258487194758785,0.8933889219773675,0.05348900401954799,0.00852058100950302,0.0775889658098905,19.634037039841903,27.095126878861556,0.7244252873563218,14.285714285714286,51.974765030733906,0.0,0.0,0.0,0.0,1
