id,label,mint_count_per_week,burn_count_per_week,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swap_in_per_week,swap_out_per_week,swap_rate,lp_avg,lp_std,lp_creator_holding_ratio,lp_lock_ratio,token_burn_ratio,token_creator_holding_ratio,number_of_token_creation_of_creator
0xd9b3f270e133c4d532e5e6230d6ac6ee16aabe80,True,0.7013556295153828,0.0,0.00625,0.99375,0.0,0.0,0.03487749000116491,0.0,51.900316584138324,59.61522850880753,0.8604651162790697,100.0,0.0,0.990352951,0.009647049,0.665,0.05,1
0xb667170be2141755241aaa1f0356a5b062eb9cb3,True,0.6313719185647146,0.0,0.002932551319648094,0.9970674486803519,0.0,0.0,0.025881160191892703,0.0,109.85871383026034,104.80773848174262,1.0419161676646707,100.0,0.0,0.990357143,0.009642857,0.0,0.0,1
0xbfe402e5a1c70ff0fef2aa5c498ed0b5dd89e7a9,True,0.6576908396323978,0.0,0.004347826086956522,0.9956521739130435,0.0,0.0,0.30189242679831374,0.0,88.1305725107413,62.480629765077786,1.3958333333333333,100.0,0.0,0.990374312,0.009625688,0.0,0.0,1
0xc3afa1238e3d04947c6451b7814d0ad915e693c8,True,0.5085027922251537,0.0,0.002551020408163265,0.9974489795918368,0.0,0.0,0.06237533656987824,0.0,90.51349701607737,108.31109474395775,0.8317757009345794,100.0,0.0,0.990521913,0.009478087,0.665,0.05,1
0xd13b109e815d3ba2507b2785d10ba03ae4de3a3f,True,0.6063948183723192,0.0,0.043478260869565216,0.9565217391304348,0.0,0.0,0.24210459281147312,0.0,9.095922275584789,4.244763728606234,1.875,100.0,0.0,0.990566038,0.009433962,0.0,0.163916667,1
0x3ba3d86acb711030d31db5b82621099e052bdd93,True,25.182271855490622,0.5246306636560546,0.07153502235469449,0.9269746646795827,0.0014903129657228018,0.03588796575251227,0.029639915987087852,0.06329799949271091,182.04684028865094,144.27343250541503,1.2572463768115942,100.0,0.0,0.99057992,0.00942008,0.01,0.006,1
0xf834a5a2ca8184d5330ccdafbc1a65e52bc2d508,True,0.9129029044440621,0.0,0.01282051282051282,0.9871794871794872,0.0,0.0,0.063585317666632,0.0,31.95160165554217,38.341921986650604,0.813953488372093,100.0,0.0,0.990623866,0.009376134,0.0,0.766,1
0xf8e3349e51790b1cdbac62f607c7e52a791b1162,True,0.9570816605240212,0.9570816605240212,0.02631578947368421,0.9473684210526315,0.02631578947368421,0.0,0.06788097784005015,0.0572987721691678,24.884123173624552,9.570816605240212,2.3636363636363638,100.0,0.0,0.990715233,0.009284767,0.0,0.0,1
0x2de46ff406c1c37e9ad780cdc20085271cf0f1e8,True,72.49190938511326,0.0,0.24731182795698925,0.7526881720430108,0.0,0.08965021359387557,0.06289106007415866,0.0,83.2081046855213,137.4194456169973,0.6027397260273972,100.0,0.0,0.990772062,0.009227938,0.0,0.0,1
0x6b47366c412f100da9a398fb1640b5ed8910bf6b,True,0.5006929232419867,0.5006929232419867,0.0026246719160104987,0.994750656167979,0.0026246719160104987,0.0,0.03178108720234246,1.0,99.13719880191336,90.62541910679958,1.0879120879120878,100.0,0.0,0.990885928,0.009114072,0.372,-0.8556,1
0x3bc4a722ce2202ca1ac607a52036b334134f7d7d,True,0.6355832011828909,0.0,0.0035211267605633804,0.9964788732394366,0.0,0.0,0.06975288882736823,0.0,89.61723136678762,90.25281456797052,0.986013986013986,100.0,0.0,0.990948744,0.009051256,0.0,0.0,1
0x3b993ed4e2526db339ecc43626272de7d584f73e,True,1.1684089122089845,0.0,0.4,0.6,0.0,0.041906916883104814,0.3432097274040896,0.0,1.1684089122089845,0.5842044561044922,1.0,100.0,0.0,0.990990991,0.009009009,0.0,0.9913655,1
0x42ece1964fd355565c528edb7d7eed9e78404e41,True,0.9857082088567056,0.0,0.000999000999000999,0.999000999000999,0.0,0.0,0.28087581252138216,0.0,707.7384939591146,277.96971489759096,2.537102473498233,100.0,0.0,0.991008104,0.008991896,0.295809583,-0.334261896,1
0x937882b5e77732d892c9ad5766e542a255faa609,True,0.8777569594313156,0.8777569594313156,0.010638297872340425,0.9787234042553191,0.010638297872340425,0.0,0.19502784076743165,0.9984209713993992,62.32074411962341,18.43289614805763,3.227272727272727,100.0,0.0,0.991088672,0.008911328,0.0,0.155607358,1
0x144d39a343606165451dc6b0824debe9a850571a,True,0.5522995129025129,0.5522995129025129,0.006993006993006993,0.986013986013986,0.006993006993006993,0.0,0.011659167213997528,1.0,44.73626054510355,33.13797077415077,1.3278688524590163,100.0,0.0,0.991092016,0.008907984,0.0,0.05,1
0xddc0193b48c0a535b8ec1ba35a44adfeb84ae38c,True,0.5273005316598284,0.5273005316598284,0.00234192037470726,0.9953161592505855,0.00234192037470726,0.0,0.02105228210869573,0.14775145986343868,124.4429254717195,99.65980048370757,1.2421052631578948,100.0,0.0,0.991115328,0.008884672,0.475,0.03557434,1
0xa43f923c01e4c8a424871d60fa2d09ec2aa0bb37,True,0.8326071424146434,3.3304285696585736,0.034482758620689655,0.8275862068965517,0.13793103448275862,0.0,0.1864005329254151,0.9981331162155717,13.321714278634294,6.660857139317147,1.7777777777777777,100.0,0.0,0.99116315,0.00883685,0.0,0.060541669,1
0xf1c6e98821acee20eade1258ee38b6a2164c04eb,True,0.5595414868371751,0.0,0.004424778761061947,0.995575221238938,0.0,0.0,0.04702731655061596,0.0,53.715982736368815,72.18085180199559,0.7384615384615385,100.0,0.0,0.991179108,0.008820892,0.665,0.0462,1
0xa2bac04f66834858aaba05df7ba9002bcb2c8f6d,True,0.8967705584057413,0.8967705584057413,0.027777777777777776,0.9444444444444444,0.027777777777777776,0.0,0.0757397299626544,0.9984343579431197,26.903116752172238,3.587082233622965,6.0,100.0,0.0,0.991493037,0.008506963,0.0,0.164692533,1
0xf77038d8508496bc7604452d8c0b4d0f3f7045b5,True,0.8972747948566927,0.8972747948566927,0.030303030303030304,0.9393939393939394,0.030303030303030304,0.0,0.09094322727863549,0.9947285567799425,25.123694255987395,2.691824384570078,7.0,100.0,0.0,0.99225087,0.00774913,0.0,0.153115907,1
0x4276b635522d5a77d0fdead9d54f25ac5e1f5637,True,0.9851815532573054,0.0,0.025,0.975,0.0,0.0,0.10245135759041442,0.0,21.67399417166072,16.748086405374192,1.2222222222222223,100.0,0.0,0.9925,0.0075,0.0,0.1,1
